series_id,model,mean_smape,std_smape
39,AutoTheta (Local Stat),16.794578513759372,0.38828529097861036
39,CatBoost (Direct ML),4.109281364713258,1.6006055799850485
39,Stacking Ensemble,10.087369559081415,1.3895432466230135
40,AutoTheta (Local Stat),13.728836999708484,0.26443834423692647
40,CatBoost (Direct ML),6.980640493534234,1.9174359679305133
40,Stacking Ensemble,9.601086124628063,1.4037472096705146
41,AutoTheta (Local Stat),18.187902118414485,2.095433499770156
41,CatBoost (Direct ML),3.313679559838596,1.0502543591520228
41,Stacking Ensemble,10.025474244729317,1.7957916082915828
42,AutoTheta (Local Stat),17.259124069593927,2.3434771068059947
42,CatBoost (Direct ML),3.609709780239221,0.3022299688852875
42,Stacking Ensemble,9.181042109456474,1.886981780304554
43,AutoTheta (Local Stat),13.110225522811975,1.341877791382735
43,CatBoost (Direct ML),4.203774631581659,0.483237816538241
43,Stacking Ensemble,8.327061793573746,1.2023391581596337
44,AutoTheta (Local Stat),15.836763185996745,1.4260308581798282
44,CatBoost (Direct ML),2.386069504890575,0.34368704111619186
44,Stacking Ensemble,8.322949983309753,0.9929388957383465
45,AutoTheta (Local Stat),28.31882808774549,3.536502700883186
45,CatBoost (Direct ML),6.132394406098009,1.7906540233385657
45,Stacking Ensemble,15.685323626150852,3.658446796670168
46,AutoTheta (Local Stat),15.70308657639165,1.399969040934763
46,CatBoost (Direct ML),2.31124208133059,0.4525542571778844
46,Stacking Ensemble,8.250331106415913,0.9718084455142372
47,AutoTheta (Local Stat),21.48836006674772,0.534275516492279
47,CatBoost (Direct ML),3.301626123167184,0.3464278861971465
47,Stacking Ensemble,11.8578264803305,1.1275465953828927
48,AutoTheta (Local Stat),19.173965743877687,0.305200423280031
48,CatBoost (Direct ML),3.433298630960674,0.36397201595717343
48,Stacking Ensemble,10.674409430814563,0.9429181607052306
49,AutoTheta (Local Stat),15.480458473127145,0.4103501041461438
49,CatBoost (Direct ML),4.044878934995886,0.6808477931930377
49,Stacking Ensemble,9.150301460465394,0.3224982584986103
50,AutoTheta (Local Stat),20.534771921313993,2.164804249000798
